analysis_result,created_at,id,input_text,ticket_id
"{""confidence_score"": ""0.8"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""delayed shipping"", ""score"": ""1"", ""summary"": ""Customer's order #JAGAR-111167335 is delayed and needed for a gift."", ""urgency_flag"": true}}",2026-02-13T23:06:18.795468+00:00,d7feac6a-7acc-4032-9b64-3c7240f929b9,"Ticket_IDDate MonthCategory PriorityStatus SentimentCustomer_Message Order_NumberT1000172025-06-012025-06Delayed ShippingMediumResolvedNegativeShipping estimate keeps changing for order #JAGAR-111234603. When will it actually ship?JAGAR-111234603T1000602025-06-032025-06Feature RequestHigh ResolvedNegativePlease add support for reading Kindle books directly on the device.T1000372025-06-052025-06Software BugMediumClosed NegativeScreen rotation is glitchy - sometimes gets stuck sideways even when I turn off auto-rotate.T1000142025-06-062025-06Delayed ShippingLow ResolvedNeutral My package #JAGAR-112855535 appears to be lost in transit. Been stuck in Memphis for days.JAGAR-112855535T1000272025-06-082025-06Software BugHigh ResolvedNegativeBattery percentage display is inaccurate. Shows 50% then dies an hour later.T1000922025-06-082025-06Return RequestLow Closed PositiveI received the wrong model. Need to return and get the correct one. Order #JAGAR-111095453JAGAR-111095453T1000682025-06-112025-06Billing/PaymentHigh ResolvedNegativeI was charged twice for order #JAGAR-111797716. Please refund the duplicate charge.JAGAR-111797716T1000772025-06-142025-06Account AccessHigh ResolvedNeutral Email verification link expired. Can you send a new one?T1000712025-06-142025-06Billing/PaymentMediumIn ProgressNeutral Payment declined but I was still charged. Order #JAGAR-112390411. Help!JAGAR-112390411T1000702025-06-152025-06Billing/PaymentHigh Closed NegativeHaven't received my refund yet. Returned device 3 weeks ago. Order #JAGAR-112673825.JAGAR-112673825T1000222025-06-172025-06Heavy BezelsLow In ProgressPositiveThick bezels are my only complaint. Screen-to-body ratio could be way better.T1000792025-06-222025-06Account AccessHigh Open Neutral Cannot change my email address in account settings. Getting an error.T1000422025-06-222025-06Software BugMediumResolvedNegativeFiles randomly duplicating in Reader. Now I have 3 copies of some PDFs.T1000302025-06-302025-06Software BugLow ResolvedNegativeThe Daylight Capture extension keeps giving me 'ingestion failure' errors. How do I fix this?T1000742025-07-062025-07Billing/PaymentMediumOpen NegativeWhy was I charged $50 more than the listed price? Order #JAGAR-112581741JAGAR-112581741T1000262025-07-092025-07Heavy BezelsHigh ResolvedNegativeLove the display but the bezels are HUGE. Makes it look dated compared to modern tablets.T1000052025-07-112025-07Delayed ShippingHigh Open NegativeI ordered 3 weeks ago (order #JAGAR-112297129) and still no device. What's the holdup?JAGAR-112297129T1000972025-07-212025-07Customer ServiceLow ResolvedPositiveSupport ticket #JAGAR-111442551 has been open for 2 weeks with no resolution. This is unacceptable.T1000432025-07-232025-07Software BugHigh Closed NegativeSound cuts out randomly during video playback. Very annoying.T1000162025-07-252025-07Delayed ShippingLow ResolvedNeutral My shipment #JAGAR-112339974 was supposed to be here before the holiday. Now it says delayed indefinitely.JAGAR-112339974T1000892025-08-012025-08Hardware MalfunctionHigh Closed NegativeDevice gets extremely hot during normal use. Is this normal?T1000402025-08-062025-08Software BugHigh Closed NegativeTouch targets are misaligned by about 5mm. Keep hitting wrong buttons.T1000412025-08-162025-08Software BugHigh ResolvedNegativeCan't install apps from app store. Keep getting 'installation failed' error.T1001002025-08-162025-08Product InquiryLow Closed NegativeDo you plan to release a version for kids ages 8-14? My son wants one.T1000752025-08-182025-08Account AccessHigh ResolvedPositiveCannot change my email address in account settings. Getting an error.T1000812025-08-182025-08Hardware MalfunctionHigh ResolvedNegativeHeadphone jack doesn't work. Tried multiple headphones, none connect.T1000382025-08-192025-08Software BugMediumClosed NegativeDark mode is buggy - some apps ignore it and stay blindingly white.T1000312025-08-202025-08Software BugLow In ProgressNeutral Battery percentage display is inaccurate. Shows 50% then dies an hour later.T1000362025-08-202025-08Software BugHigh Closed NegativeSound cuts out randomly during video playback. Very annoying.T1000632025-08-212025-08Feature RequestMediumClosed Neutral Would be amazing to have handwriting recognition for notes!T1000192025-08-242025-08Heavy BezelsHigh Closed Neutral The bezels make this thing look chunky. Otherwise love it.T1000542025-08-292025-08Feature RequestMediumResolvedNeutral Please add cloud sync for annotations and highlights across devices.T1000842025-09-022025-09Hardware MalfunctionMediumClosed NegativeScreen is flickering constantly. Makes it unusable. Order #JAGAR-111744121T1000252025-09-062025-09Heavy BezelsLow ResolvedNeutral Screen is great but why such massive bezels in 2025? Feels like a device from 5 years ago.T1000902025-09-072025-09Hardware MalfunctionHigh ResolvedNegativeHeadphone jack doesn't work. Tried multiple headphones, none connect.T1000592025-09-082025-09Feature RequestLow Closed Neutral Can you add support for ePub files in the Reader app?T1000202025-09-112025-09Heavy BezelsHigh ResolvedNegativeThick bezels are my only complaint. Screen-to-body ratio could be way better.T1000552025-09-162025-09Feature RequestMediumClosed Neutral Would love to see a built-in dictionary/translation feature for reading.T1000352025-09-182025-09Software BugHigh ResolvedNegativeMy DC-1 gets stuck in a login loop with my 2FA Google account. Can't access the device at all!T1000872025-09-222025-09Hardware MalfunctionMediumClosed NegativeHeadphone jack doesn't work. Tried multiple headphones, none connect.T1000062025-09-252025-09Delayed ShippingMediumResolvedNegativeTracking shows my order #JAGAR-111167335 is delayed. I needed this for a gift. Can you help?JAGAR-111167335T1000472025-09-252025-09Software BugLow Closed Neutral Can't delete files from Reader, only archive. This should be basic functionality!T1000092025-09-262025-09Delayed ShippingMediumResolvedNegativeOrder #JAGAR-112688303 - carrier says 'delivery attempted' but I was home all day. Nobody came.JAGAR-112688303T1000662025-09-272025-09Feature RequestMediumResolvedPositivePlease add ability to rename files in Reader. Files from Capture show up as 'Untitled'.T1000022025-09-282025-09Delayed ShippingHigh ResolvedNegativeOrder #JAGAR-111055649 shows out for delivery since Monday. It's now Friday. Where is it?JAGAR-111055649T1000572025-09-292025-09Feature RequestLow ResolvedNeutral Can we get a night reading mode with warmer colors? Current dark mode is still too blue.T1000322025-09-292025-09Software BugHigh Closed NegativeCan't install apps from app store. Keep getting 'installation failed' error.T1000442025-09-302025-09Software BugLow Closed NegativeWeb browser crashes when loading certain websites with lots of images.T1000342025-10-012025-10Software BugLow Closed Neutral Keyboard sometimes doesn't appear when clicking text fields. Have to restart app.T1000862025-10-022025-10Hardware MalfunctionHigh In ProgressNegativeTouch screen not responding in bottom right corner. Hardware defect?T1000782025-10-032025-10Account AccessHigh In ProgressPositiveAccount shows device registered but I sold it. How do I unregister it?",d7feac6a-7acc-4032-9b64-3c7240f929b9
"{""confidence_score"": ""0.8"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""software"", ""score"": ""1"", ""summary"": ""User is unable to install apps from the app store due to an 'installation failed' error."", ""urgency_flag"": false}}",2026-02-13T23:13:01.369375+00:00,92de86d6-c5c1-45b2-b8c4-54a4e4d2db16,Can't install apps from app store. Keep getting 'installation failed' error.,92de86d6-c5c1-45b2-b8c4-54a4e4d2db16
"{""confidence_score"": ""0.9"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""shipping"", ""score"": ""2"", ""summary"": ""Customer is frustrated about a shipping delay, as the order has been out for delivery since Monday and it's now Friday."", ""urgency_flag"": true}}",2026-02-13T23:14:54.363091+00:00,54ade2b8-2841-49e5-a890-dff018269701,Order #JAGAR-111292632 shows out for delivery since Monday. It's now Friday. Where is it?,54ade2b8-2841-49e5-a890-dff018269701
"{""confidence_score"": ""0.85"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""shipping"", ""score"": ""2"", ""summary"": ""Customer's order has been out for delivery since Monday and has not arrived by Friday."", ""urgency_flag"": true}}",2026-02-13T23:15:37.626882+00:00,b94f605c-b7ef-4b99-b899-98254ac4a08b,Order #JAGAR-112530358 shows out for delivery since Monday. It's now Friday. Where is it?,b94f605c-b7ef-4b99-b899-98254ac4a08b
"{""confidence_score"": ""0.9"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""hardware"", ""score"": ""2"", ""summary"": ""The headphone jack is not functioning, as multiple headphones do not connect."", ""urgency_flag"": false}}",2026-02-13T23:13:10.687105+00:00,6d7870de-adef-4c19-914d-a17af0d73ac0,"Headphone jack doesn't work. Tried multiple headphones, none connect.",6d7870de-adef-4c19-914d-a17af0d73ac0
"{""confidence_score"": ""0.9"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""hardware"", ""score"": ""2"", ""summary"": ""The headphone jack is not functioning, as multiple headphones do not connect."", ""urgency_flag"": false}}",2026-02-13T23:13:54.690544+00:00,ae783e57-50ab-4d85-9ac8-d93afa1e982a,"Headphone jack doesn't work. Tried multiple headphones, none connect.",ae783e57-50ab-4d85-9ac8-d93afa1e982a
"{""confidence_score"": ""0.8"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""account"", ""score"": ""2"", ""summary"": ""Account suspension without reason; needs immediate reactivation."", ""urgency_flag"": true}}",2026-02-13T23:16:10.876994+00:00,1ec452b8-6c96-4002-99b1-927d2e24a51c,My account was suspended for no reason. I need it reactivated immediately.,1ec452b8-6c96-4002-99b1-927d2e24a51c
"{""confidence_score"": ""0.85"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""shipping"", ""score"": ""2"", ""summary"": ""Customer paid for faster shipping but experienced a delay."", ""urgency_flag"": false}}",2026-02-13T23:14:44.749020+00:00,37f53adc-2c79-4ac4-b6bb-3221ba71ddb4,I paid extra for faster shipping on order #JAGAR-111898490 but it's slower than standard would have been.,37f53adc-2c79-4ac4-b6bb-3221ba71ddb4
"{""confidence_score"": ""0.8"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""frustrated"", ""issue_category"": ""connectivity"", ""score"": ""2"", ""summary"": ""Frequent WiFi disconnections requiring multiple reconnections daily."", ""urgency_flag"": false}}",2026-02-13T23:15:57.597191+00:00,1ec79cca-5de9-4e7c-96ce-1e3b49d7e468,WiFi drops constantly. Have to reconnect 5-6 times per day. Other devices work fine.,1ec79cca-5de9-4e7c-96ce-1e3b49d7e468
"{""confidence_score"": ""0.8"", ""demographic_extraction"": {""age_bracket"": null, ""family_status"": null, ""health_conditions"": null, ""location"": null, ""occupation"": null}, ""sentiment_analysis"": {""emotion"": ""neutral"", ""issue_category"": ""return/refund"", ""score"": ""1"", ""summary"": ""Customer wants to return the device for a refund as it did not meet expectations."", ""urgency_flag"": false}}",2026-02-13T23:15:11.253082+00:00,88d1fb0d-a578-49ef-a5db-e391fd547bbf,How do I return for a refund? Device isn't what I expected. Order #JAGAR-112746148,88d1fb0d-a578-49ef-a5db-e391fd547bbf
